language,page_id,average_world_len,vowel_ratio,average_words_in_sentence,non_ascii_ratio,double_letter_ratio,double_vowel_ratio,a_ratio,b_ratio,c_ratio,d_ratio,e_ratio,f_ratio,g_ratio,h_ratio,i_ratio,j_ratio,k_ratio,l_ratio,m_ratio,n_ratio,o_ratio,p_ratio,q_ratio,r_ratio,s_ratio,t_ratio,u_ratio,v_ratio,w_ratio,x_ratio,y_ratio,z_ratio
en,2168838,5.0508474576271185,0.40058724832214765,22.476190476190474,0.0016688918558077437,0.018875838926174497,0.03481543624161074,0.08766778523489933,0.011325503355704697,0.03649328859060403,0.04236577181208054,0.1212248322147651,0.022231543624161073,0.022231543624161073,0.0398489932885906,0.06921140939597316,0.0041946308724832215,0.005453020134228188,0.038171140939597316,0.02097315436241611,0.07466442953020135,0.07676174496644295,0.016778523489932886,0.00041946308724832214,0.07046979865771812,0.06711409395973154,0.09815436241610738,0.03229865771812081,0.013842281879194632,0.013422818791946308,0.0012583892617449664,0.013422818791946308,0.0
en,16624655,4.507575757575758,0.40336134453781514,22.0,0.0026246719160104987,0.023529411764705882,0.058823529411764705,0.12773109243697478,0.025210084033613446,0.023529411764705882,0.02857142857142857,0.11764705882352941,0.015126050420168067,0.015126050420168067,0.06554621848739496,0.06890756302521009,0.011764705882352941,0.011764705882352941,0.04201680672268908,0.040336134453781515,0.07058823529411765,0.043697478991596636,0.040336134453781515,0.0016806722689075631,0.047058823529411764,0.06386554621848739,0.07226890756302522,0.025210084033613446,0.005042016806722689,0.010084033613445379,0.005042016806722689,0.020168067226890758,0.0016806722689075631
en,20515991,4.816666666666666,0.38235294117647056,17.142857142857142,0.003926701570680628,0.029411764705882353,0.05190311418685121,0.10899653979238755,0.00865051903114187,0.04152249134948097,0.029411764705882353,0.11937716262975778,0.02249134948096886,0.02768166089965398,0.04844290657439446,0.0657439446366782,0.0034602076124567475,0.01384083044982699,0.05709342560553633,0.031141868512110725,0.06920415224913495,0.05363321799307959,0.029411764705882353,0.0017301038062283738,0.06401384083044982,0.07785467128027682,0.06920415224913495,0.015570934256055362,0.0034602076124567475,0.01903114186851211,0.0,0.01903114186851211,0.0
en,14894426,4.884955752212389,0.4076086956521739,18.833333333333332,0.002857142857142857,0.018115942028985508,0.041666666666666664,0.09057971014492754,0.028985507246376812,0.05615942028985507,0.018115942028985508,0.10507246376811594,0.016304347826086956,0.016304347826086956,0.04710144927536232,0.08876811594202899,0.0018115942028985507,0.0018115942028985507,0.036231884057971016,0.036231884057971016,0.06521739130434782,0.08333333333333333,0.02355072463768116,0.0,0.07246376811594203,0.08333333333333333,0.06884057971014493,0.025362318840579712,0.007246376811594203,0.005434782608695652,0.0018115942028985507,0.014492753623188406,0.0036231884057971015
en,2126629,5.508620689655173,0.3615023474178404,16.571428571428573,0.0038560411311053984,0.02190923317683881,0.0297339593114241,0.09389671361502347,0.010954616588419406,0.02190923317683881,0.051643192488262914,0.13302034428794993,0.04538341158059468,0.010954616588419406,0.046948356807511735,0.04538341158059468,0.0,0.010954616588419406,0.06885758998435054,0.025039123630672927,0.08450704225352113,0.06729264475743349,0.006259780907668232,0.0,0.06729264475743349,0.0594679186228482,0.10641627543035993,0.012519561815336464,0.006259780907668232,0.012519561815336464,0.0,0.009389671361502348,0.0
en,9795898,4.543478260869565,0.3881578947368421,28.307692307692307,0.002834199338686821,0.01375598086124402,0.03349282296650718,0.0687799043062201,0.016148325358851676,0.025119617224880382,0.04007177033492823,0.11004784688995216,0.014952153110047847,0.039473684210526314,0.0430622009569378,0.08373205741626795,0.004186602870813397,0.00777511961722488,0.04066985645933014,0.0215311004784689,0.0950956937799043,0.06937799043062201,0.02452153110047847,0.0023923444976076554,0.056220095693779906,0.07595693779904306,0.0819377990430622,0.04066985645933014,0.008971291866028708,0.01076555023923445,0.0029904306220095694,0.01555023923444976,0.0
en,21742898,4.66815144766147,0.3950381679389313,34.53846153846154,0.00038211692777990065,0.022900763358778626,0.05677480916030534,0.08587786259541985,0.025286259541984733,0.026240458015267174,0.03721374045801527,0.11545801526717557,0.022900763358778626,0.02385496183206107,0.04198473282442748,0.06727099236641221,0.005248091603053435,0.01097328244274809,0.05104961832061069,0.035305343511450385,0.06774809160305344,0.0825381679389313,0.01812977099236641,0.003816793893129771,0.07108778625954199,0.0625,0.07681297709923664,0.029580152671755726,0.003816793893129771,0.02051526717557252,0.0,0.01431297709923664,0.00047709923664122136
en,2459760,4.781326781326781,0.4105858170606372,20.35,0.0012453300124533001,0.013874614594039054,0.051387461459403906,0.10123329907502569,0.014388489208633094,0.03340184994861254,0.040596094552929084,0.11356628982528263,0.023638232271325797,0.020554984583761562,0.04162384378211716,0.08067831449126413,0.0005138746145940391,0.008735868448098663,0.04367934224049332,0.026207605344295993,0.07553956834532374,0.07142857142857142,0.017471736896197326,0.0005138746145940391,0.0539568345323741,0.07297019527235354,0.08633093525179857,0.03134635149023638,0.009763617677286743,0.013360739979445015,0.0005138746145940391,0.012332990750256937,0.005652620760534429
en,468140,4.644444444444445,0.3939393939393939,16.875,0.032926829268292684,0.014354066985645933,0.022328548644338118,0.09090909090909091,0.006379585326953748,0.017543859649122806,0.04146730462519936,0.08293460925039872,0.025518341307814992,0.025518341307814992,0.03668261562998405,0.08452950558213716,0.003189792663476874,0.009569377990430622,0.03668261562998405,0.02711323763955343,0.07496012759170653,0.08452950558213716,0.019138755980861243,0.0,0.049441786283891544,0.07177033492822966,0.08931419457735247,0.025518341307814992,0.007974481658692184,0.02073365231259968,0.003189792663476874,0.025518341307814992,0.001594896331738437
en,52331155,4.3875,0.38603988603988604,20.0,0.0032967032967032967,0.021367521367521368,0.03561253561253561,0.07977207977207977,0.021367521367521368,0.037037037037037035,0.042735042735042736,0.09829059829059829,0.038461538461538464,0.022792022792022793,0.04700854700854701,0.11253561253561253,0.002849002849002849,0.004273504273504274,0.05128205128205128,0.042735042735042736,0.07264957264957266,0.06125356125356125,0.018518518518518517,0.0,0.04985754985754986,0.06552706552706553,0.07122507122507123,0.017094017094017096,0.017094017094017096,0.008547008547008548,0.0,0.017094017094017096,0.0
en,48993019,5.25,0.402457757296467,15.5,0.003703703703703704,0.027649769585253458,0.05222734254992319,0.10906298003072197,0.010752688172043012,0.043010752688172046,0.041474654377880185,0.07987711213517665,0.02304147465437788,0.015360983102918587,0.05069124423963134,0.07680491551459294,0.0015360983102918587,0.004608294930875576,0.047619047619047616,0.021505376344086023,0.06912442396313365,0.07219662058371736,0.007680491551459293,0.009216589861751152,0.08755760368663594,0.05222734254992319,0.08448540706605223,0.03379416282642089,0.004608294930875576,0.02304147465437788,0.0,0.030721966205837174,0.0
