language,page_id,average_world_len,vowel_ratio,average_words_in_sentence,non_ascii_ratio,double_letter_ratio,double_vowel_ratio,a_ratio,b_ratio,c_ratio,d_ratio,e_ratio,f_ratio,g_ratio,h_ratio,i_ratio,j_ratio,k_ratio,l_ratio,m_ratio,n_ratio,o_ratio,p_ratio,q_ratio,r_ratio,s_ratio,t_ratio,u_ratio,v_ratio,w_ratio,x_ratio,y_ratio,z_ratio
pl,815949,5.745098039215686,0.378839590443686,12.75,0.04960835509138381,0.0034129692832764505,0.027303754266211604,0.09726962457337884,0.008532423208191127,0.030716723549488054,0.025597269624573378,0.04948805460750853,0.006825938566552901,0.013651877133105802,0.013651877133105802,0.08191126279863481,0.020477815699658702,0.05631399317406143,0.025597269624573378,0.032423208191126277,0.042662116040955635,0.08703071672354949,0.032423208191126277,0.0,0.052901023890784986,0.052901023890784986,0.040955631399317405,0.025597269624573378,0.0,0.04607508532423208,0.0,0.03754266211604096,0.05802047781569966
pl,778802,5.91358024691358,0.3684759916492693,11.571428571428571,0.047961630695443645,0.0020876826722338203,0.03966597077244259,0.07933194154488518,0.016701461377870562,0.04592901878914405,0.019832985386221295,0.06784968684759916,0.0010438413361169101,0.015657620041753653,0.017745302713987474,0.08455114822546973,0.021920668058455117,0.03549060542797495,0.017745302713987474,0.038622129436325675,0.0511482254697286,0.07411273486430063,0.025052192066805846,0.0,0.05636743215031315,0.0511482254697286,0.049060542797494784,0.025052192066805846,0.0020876826722338203,0.06263048016701461,0.0,0.037578288100208766,0.05010438413361169
pl,193244,5.894308943089431,0.36,15.375,0.05856353591160221,0.001379310344827586,0.034482758620689655,0.09517241379310344,0.015172413793103448,0.04,0.041379310344827586,0.05931034482758621,0.0,0.02482758620689655,0.009655172413793104,0.0703448275862069,0.02620689655172414,0.05241379310344828,0.019310344827586208,0.031724137931034485,0.04689655172413793,0.08827586206896551,0.02482758620689655,0.0,0.06206896551724138,0.05103448275862069,0.023448275862068966,0.015172413793103448,0.0,0.05379310344827586,0.0,0.031724137931034485,0.05241379310344828
pl,2131974,6.471014492753623,0.40985442329227323,9.857142857142858,0.04440497335701599,0.006718924972004479,0.054871220604703244,0.07502799552071669,0.010078387458006719,0.03807390817469205,0.026875699888017916,0.07838745800671892,0.0,0.019036954087346025,0.015677491601343786,0.11086226203807391,0.014557670772676373,0.05375139977603583,0.011198208286674132,0.04591265397536394,0.054871220604703244,0.07502799552071669,0.025755879059350503,0.0,0.04927211646136618,0.054871220604703244,0.03583426651735722,0.03583426651735722,0.0,0.04591265397536394,0.0,0.03471444568868981,0.03583426651735722
pl,1468132,5.481132075471698,0.4079173838209983,10.6,0.026420079260237782,0.0051635111876075735,0.03442340791738382,0.08777969018932874,0.013769363166953529,0.03614457831325301,0.029259896729776247,0.09982788296041308,0.0017211703958691911,0.01549053356282272,0.010327022375215147,0.05679862306368331,0.010327022375215147,0.03614457831325301,0.027538726333907058,0.024096385542168676,0.04647160068846816,0.07917383820998279,0.03442340791738382,0.0,0.07228915662650602,0.05163511187607573,0.05335628227194492,0.03442340791738382,0.0051635111876075735,0.055077452667814115,0.0,0.04991394148020654,0.03614457831325301
pl,790336,6.176470588235294,0.3659863945578231,23.8,0.05701254275940707,0.005442176870748299,0.03945578231292517,0.08979591836734693,0.009523809523809525,0.04217687074829932,0.034013605442176874,0.0761904761904762,0.00816326530612245,0.012244897959183673,0.00816326530612245,0.07346938775510205,0.009523809523809525,0.04081632653061224,0.02585034013605442,0.04217687074829932,0.06258503401360545,0.055782312925170066,0.04081632653061224,0.0,0.0653061224489796,0.03945578231292517,0.029931972789115645,0.02857142857142857,0.0013605442176870747,0.04625850340136054,0.0,0.04217687074829932,0.050340136054421766
pl,37333,6.034883720930233,0.3911368015414258,17.2,0.04153354632587859,0.0038535645472061657,0.04816955684007707,0.09633911368015415,0.011560693641618497,0.038535645472061654,0.023121387283236993,0.07514450867052024,0.005780346820809248,0.017341040462427744,0.02119460500963391,0.09633911368015415,0.02697495183044316,0.057803468208092484,0.017341040462427744,0.02119460500963391,0.0674373795761079,0.0674373795761079,0.03275529865125241,0.0,0.04046242774566474,0.0674373795761079,0.038535645472061654,0.023121387283236993,0.0019267822736030828,0.030828516377649325,0.005780346820809248,0.03275529865125241,0.038535645472061654
pl,4062967,6.342911877394636,0.38568408335850196,26.1,0.04156358238495794,0.0030202355783751134,0.03352461491996376,0.07248565388100271,0.007852612503775294,0.03292056780428874,0.026578073089700997,0.07973421926910298,0.0030202355783751134,0.02567200241618846,0.010570824524312896,0.07792207792207792,0.024161884627000908,0.048625792811839326,0.02536997885835095,0.019631531259438235,0.0480217456961643,0.09302325581395349,0.021745696164300814,0.0,0.05678042887345213,0.04469948655995168,0.02567200241618846,0.026880096647538508,0.0,0.06493506493506493,0.0,0.035638779824826335,0.0800362428269405
pl,733873,5.5859375,0.3995337995337995,18.285714285714285,0.05084138918725385,0.011655011655011656,0.03682983682983683,0.11188811188811189,0.009324009324009324,0.03636363636363636,0.031235431235431235,0.07832167832167833,0.006060606060606061,0.011188811188811189,0.014918414918414918,0.08578088578088579,0.016317016317016316,0.02703962703962704,0.05174825174825175,0.026573426573426574,0.06293706293706294,0.07505827505827506,0.02191142191142191,0.0,0.06526806526806526,0.04895104895104895,0.03682983682983683,0.013986013986013986,0.0004662004662004662,0.030303030303030304,0.005594405594405594,0.0344988344988345,0.03776223776223776
pl,1980088,5.647887323943662,0.3827930174563591,10.923076923076923,0.03721374045801527,0.003740648379052369,0.046134663341645885,0.08229426433915212,0.0024937655860349127,0.04239401496259352,0.02119700748129676,0.07605985037406483,0.0024937655860349127,0.008728179551122194,0.007481296758104738,0.10349127182044887,0.026184538653366583,0.04987531172069826,0.03117206982543641,0.026184538653366583,0.046134663341645885,0.06234413965087282,0.043640897755610975,0.0,0.06234413965087282,0.05112219451371571,0.04239401496259352,0.03117206982543641,0.003740648379052369,0.05236907730673317,0.0,0.02743142144638404,0.05112219451371571
pl,1731513,5.64935064935065,0.3850574712643678,11.0,0.06289881494986327,0.006896551724137931,0.034482758620689655,0.0896551724137931,0.009195402298850575,0.026436781609195402,0.0367816091954023,0.09655172413793103,0.006896551724137931,0.010344827586206896,0.005747126436781609,0.05632183908045977,0.02413793103448276,0.026436781609195402,0.03218390804597701,0.016091954022988506,0.06436781609195402,0.08620689655172414,0.04597701149425287,0.005747126436781609,0.06666666666666667,0.05057471264367816,0.028735632183908046,0.029885057471264367,0.004597701149425287,0.047126436781609195,0.0,0.026436781609195402,0.03218390804597701
pl,1321624,5.805194805194805,0.43847874720357943,7.7,0.03789126853377265,0.020134228187919462,0.06711409395973154,0.10961968680089486,0.020134228187919462,0.029082774049217,0.03131991051454139,0.0738255033557047,0.0,0.011185682326621925,0.008948545861297539,0.11409395973154363,0.017897091722595078,0.05592841163310962,0.026845637583892617,0.02237136465324385,0.05145413870246085,0.07606263982102908,0.03355704697986577,0.0,0.058165548098434,0.03803131991051454,0.026845637583892617,0.029082774049217,0.0022371364653243847,0.040268456375838924,0.0,0.035794183445190156,0.03803131991051454
pl,3474898,6.98404255319149,0.38994668697638996,10.444444444444445,0.05167173252279635,0.005331302361005331,0.03655750190403656,0.08225437928408226,0.012947448591012947,0.05026656511805026,0.05026656511805026,0.0654988575780655,0.00456968773800457,0.013709063214013708,0.02513328255902513,0.08758568164508758,0.019801980198019802,0.04493526275704494,0.02284843869002285,0.030464584920030464,0.05255140898705255,0.0913937547600914,0.0297029702970297,0.0,0.046458492003046456,0.026656511805026657,0.03351104341203351,0.031226199543031227,0.0,0.044173648134044174,0.0,0.03198781416603199,0.0456968773800457
pl,545926,5.743718592964824,0.38232720909886264,10.473684210526315,0.0423841059602649,0.009623797025371828,0.03412073490813648,0.09711286089238845,0.026246719160104987,0.033245844269466314,0.024496937882764653,0.06824146981627296,0.0008748906386701663,0.015748031496062992,0.010498687664041995,0.07874015748031496,0.014873140857392825,0.05336832895888014,0.02099737532808399,0.033245844269466314,0.06124234470691164,0.0831146106736658,0.020122484689413824,0.0,0.0699912510936133,0.05511811023622047,0.02712160979877515,0.022747156605424323,0.0,0.03849518810148731,0.0,0.03237095363079615,0.06036745406824147
pl,2214443,6.834782608695652,0.3931297709923664,12.777777777777779,0.05100956429330499,0.0,0.03689567430025445,0.07888040712468193,0.015267175572519083,0.03435114503816794,0.030534351145038167,0.09923664122137404,0.003816793893129771,0.008905852417302799,0.01272264631043257,0.09414758269720101,0.020356234096692113,0.04198473282442748,0.021628498727735368,0.030534351145038167,0.04834605597964377,0.06870229007633588,0.031806615776081425,0.0,0.044529262086514,0.05089058524173028,0.04580152671755725,0.027989821882951654,0.007633587786259542,0.047073791348600506,0.0,0.024173027989821884,0.05343511450381679
pl,3189957,6.584269662921348,0.3993174061433447,8.9,0.028350515463917526,0.0034129692832764505,0.034129692832764506,0.08873720136518772,0.020477815699658702,0.032423208191126277,0.017064846416382253,0.06825938566552901,0.005119453924914676,0.011945392491467578,0.010238907849829351,0.09556313993174062,0.017064846416382253,0.08020477815699659,0.013651877133105802,0.03924914675767918,0.07167235494880546,0.06996587030716724,0.034129692832764506,0.0,0.05631399317406143,0.04778156996587031,0.027303754266211604,0.034129692832764506,0.0,0.04778156996587031,0.0,0.042662116040955635,0.034129692832764506
pl,2284129,5.929411764705883,0.4027777777777778,17.0,0.03565640194489465,0.00992063492063492,0.041666666666666664,0.09722222222222222,0.011904761904761904,0.03373015873015873,0.01984126984126984,0.08134920634920635,0.003968253968253968,0.013888888888888888,0.003968253968253968,0.07539682539682539,0.031746031746031744,0.02976190476190476,0.031746031746031744,0.04365079365079365,0.07142857142857142,0.0496031746031746,0.025793650793650792,0.0,0.047619047619047616,0.06746031746031746,0.0496031746031746,0.0496031746031746,0.0,0.02976190476190476,0.0,0.0496031746031746,0.04563492063492063
pl,89779,6.232142857142857,0.3858643744030564,12.923076923076923,0.056338028169014086,0.004775549188156638,0.038204393505253106,0.0936007640878701,0.0066857688634192934,0.061127029608404965,0.030563514804202482,0.07545367717287488,0.0057306590257879654,0.021967526265520534,0.025787965616045846,0.0830945558739255,0.01623686723973257,0.02387774594078319,0.030563514804202482,0.02387774594078319,0.07163323782234957,0.06876790830945559,0.03724928366762178,0.0009551098376313276,0.04680038204393505,0.033428844317096466,0.034383954154727794,0.02387774594078319,0.0038204393505253103,0.034383954154727794,0.0,0.041069723018147083,0.04297994269340974
pl,820560,6.576923076923077,0.39571150097465885,15.6,0.06301824212271974,0.003898635477582846,0.03898635477582846,0.08966861598440545,0.01949317738791423,0.03898635477582846,0.023391812865497075,0.08771929824561403,0.001949317738791423,0.011695906432748537,0.009746588693957114,0.07017543859649122,0.023391812865497075,0.023391812865497075,0.031189083820662766,0.02729044834307992,0.06627680311890838,0.07992202729044834,0.023391812865497075,0.0,0.04873294346978557,0.04093567251461988,0.04093567251461988,0.023391812865497075,0.001949317738791423,0.04093567251461988,0.001949317738791423,0.04483430799220273,0.056530214424951264
pl,1900579,6.375722543352601,0.3925657298277425,12.357142857142858,0.04484304932735426,0.003626473254759746,0.04079782411604715,0.09519492293744333,0.02085222121486854,0.04261106074342702,0.04261106074342702,0.057116953762466005,0.0027198549410698096,0.010879419764279238,0.016319129646418858,0.07615593834995467,0.022665457842248413,0.029918404351767906,0.03173164097914778,0.02085222121486854,0.07252946509519492,0.09066183136899365,0.022665457842248413,0.0,0.04079782411604715,0.028105167724388033,0.0371713508612874,0.02901178603807797,0.0,0.05349048050770626,0.001813236627379873,0.044424297370806894,0.05983680870353581
pl,457671,6.05568445475638,0.38084291187739466,19.59090909090909,0.05722415428390768,0.006513409961685823,0.02950191570881226,0.08812260536398467,0.020306513409961684,0.03908045977011494,0.01839080459770115,0.06053639846743295,0.009578544061302681,0.014176245210727969,0.01264367816091954,0.07547892720306514,0.03065134099616858,0.04980842911877394,0.030268199233716476,0.028735632183908046,0.05900383141762452,0.0735632183908046,0.02567049808429119,0.0,0.044444444444444446,0.03409961685823755,0.043295019157088124,0.0367816091954023,0.0,0.04827586206896552,0.0015325670498084292,0.04636015325670498,0.04827586206896552
pl,359771,6.263565891472868,0.38242574257425743,11.727272727272727,0.058212058212058215,0.0,0.03341584158415842,0.07178217821782178,0.012376237623762377,0.03712871287128713,0.024752475247524754,0.07673267326732673,0.0037128712871287127,0.009900990099009901,0.007425742574257425,0.07549504950495049,0.017326732673267328,0.050742574257425746,0.03341584158415842,0.01608910891089109,0.053217821782178217,0.09282178217821782,0.039603960396039604,0.0,0.03589108910891089,0.0594059405940594,0.028465346534653466,0.03094059405940594,0.0,0.06930693069306931,0.0024752475247524753,0.034653465346534656,0.05693069306930693
pl,1255582,6.139896373056994,0.379746835443038,12.0625,0.053156146179401995,0.00590717299578059,0.04050632911392405,0.08354430379746836,0.010970464135021098,0.04556962025316456,0.035443037974683546,0.06751054852320675,0.0033755274261603376,0.017721518987341773,0.012658227848101266,0.08691983122362869,0.015189873417721518,0.03291139240506329,0.031223628691983123,0.03713080168776371,0.04810126582278481,0.08185654008438818,0.031223628691983123,0.0,0.053164556962025315,0.04810126582278481,0.026160337552742614,0.035443037974683546,0.0,0.049789029535864976,0.0,0.024472573839662448,0.060759493670886074
pl,1780111,5.553191489361702,0.36590038314176243,13.428571428571429,0.061068702290076333,0.005747126436781609,0.02490421455938697,0.10153256704980843,0.007662835249042145,0.02681992337164751,0.022988505747126436,0.07088122605363985,0.005747126436781609,0.013409961685823755,0.011494252873563218,0.06130268199233716,0.034482758620689655,0.034482758620689655,0.0421455938697318,0.01532567049808429,0.06130268199233716,0.06321839080459771,0.03065134099616858,0.0,0.04789272030651341,0.044061302681992334,0.06130268199233716,0.01532567049808429,0.0,0.044061302681992334,0.0019157088122605363,0.05363984674329502,0.07088122605363985
pl,5604,6.423529411764706,0.4056776556776557,11.724137931034482,0.05315110098709187,0.0022893772893772895,0.042582417582417584,0.08699633699633699,0.009615384615384616,0.052655677655677656,0.029304029304029304,0.08562271062271062,0.0027472527472527475,0.011904761904761904,0.010531135531135532,0.07921245421245421,0.025183150183150184,0.03021978021978022,0.018772893772893772,0.03250915750915751,0.06456043956043957,0.08699633699633699,0.028388278388278388,0.0004578754578754579,0.04807692307692308,0.038461538461538464,0.04120879120879121,0.029304029304029304,0.0,0.038461538461538464,0.0,0.037545787545787544,0.05402930402930403
